id;rucProv;nameProv;telefonoProv;categoriaProv;correoProv;direccionProv;detalleProv
100;20100018625;MEDIFARMA S.A.;981062938;ALMACEN;;-;-
101;20100018625;MEDIFARMA S.A.;981405632;VENTAS;fabiola.herrera@medifarma.com.pe;-;-
102;20100018625;MEDIFARMA S.A.;987469423;VENTAS;julissa.huanca@medifarma.com.pe;-;-
103;20100018625;MEDIFARMA S.A.;998313290;FACTURACION;jloli@medifarma.com.pe;-;-
104;20100018625;MEDIFARMA S.A.;943045363;TRANSPORTES;;-;-
105;20100018625;MEDIFARMA S.A.;0;GENERAL;hemodialisis@medifarma.com.pe;-;-
106;20462793791;FRESENIUS MEDICAL CARE;0;VENTAS;jose.bellido@fmc-ag.com;-;-
107;20109161609;ROCKER;0;;ventas.roker@gmail.com;-;-
108;20109161609;ROCKER;0;;info@roker.com.pe;-;-
109;20100134617;MEGALABS;987287006;VENTAS;Cfarfan@megalabs.com.pe;-;-
110;20370375675;UNIMEDICA EIRL;959383333;VENTAS;;-;-
111;20603809832;EUROMEDIC;959658929;;;-;-
112;20197705249;UNILENE;972737651;VENTAS;;-;-
